Name,Description,Price,Img_url
"NZXT H510 Matte Black ATX Case, Tempered Glass Side Window, No PSU","NZXT H510 Matte Black ATX Case, Tempered Glass Side Window, No PSU, 2x USB 3.1 (Type-C + Type-A) , HD Audio, 2x 120mm Fan pre-installed",$139.00,https://prod.scorptec.com.au/4/37/77983/182145_large.jpg
"Lian Li Lancool II Mesh Performance Black E-ATX Case, TG Window,No PSU","Lian Li Lancool II Mesh Performance Black E-ATX Case, Tempered Glass Side Window, No PSU, 2x USB 3.0, HD Audio, RGB Controller, 2x 140mm + 1x 120mm Fan",$155.00,https://prod.scorptec.com.au/4/37/83506/211982_large.jpg
"NZXT H510 Matte White ATX Case, Tempered Glass Side Window, No PSU","NZXT H510 Matte White ATX Case, Tempered Glass Side Window, No PSU, 2x USB 3.1 (Type-C + Type-A) , HD Audio, 2x 120mm Fan pre-installed",$139.00,https://prod.scorptec.com.au/4/37/77984/182173_large.jpg
"SilverStone Fara B1 Rainbow Black ATX Case, T/G Window, No PSU","SilverStone Fara B1 Rainbow Black ATX Case, Tempered Glass Side Window, No PSU, 2x USB 3.0, 1x USB 2.0, Combo HD Audio, 4x 120mm Rainbow Fan",$109.00,https://prod.scorptec.com.au/4/37/83375/212003_large.jpg
"Lian Li Lancool II Mesh Black E-ATX Case, T/G Window, No PSU","Lian Li Lancool II Mesh Black E-ATX Case, Tempered Glass Side Window, No PSU, 2x USB 3.0, HD Audio, RGB Controller, 3x 120mm ARGB Fan",$155.00,https://prod.scorptec.com.au/4/37/83504/211996_large.jpg
"Thermaltake Versa H21 Mid Tower Black ATX Case, 500W PSU","Thermaltake Versa H21 Mid Tower Black ATX Case, 500W PSU, 1x USB 3.0, 1x USB 2.0, Audio In/Out, 3x 2.5"", 3x 3.5"" Drive Bays, 7x Expansion Sl",$109.00,https://prod.scorptec.com.au/4/37/53581/77381_large.jpg
"Lian Li Lancool II Mesh White E-ATX Case, T/G Window, No PSU","Lian Li Lancool II Mesh White E-ATX Case, Tempered Glass Side Window, No PSU, 2x USB 3.0, HD Audio, RGB Controller, 3x 120mm ARGB Fan",$165.00,https://prod.scorptec.com.au/4/37/83505/211990_large.jpg
"Corsair AIRFLOW 4000D Black Mid Tower ATX Case, Tempered Glass Window","Corsair AIRFLOW 4000D Black Mid Tower ATX Case, Tempered Glass Window, No PSU, USB3.1 Type-C, USB3.0, HD Audio, 2x 120mm AirGuide Fan Included, RapidRoute Cable Management",$129.00,https://prod.scorptec.com.au/4/37/85228/218947_large.jpg
"Lian Li PC-O11 Dynamic Black ATX Case, T/G Windows, No PSU","Lian Li PC-O11 Dynamic Black ATX Case, Tempered Glass Front and Side Windows, No PSU, 1x USB 3.1 Type-C, 2x USB 3.0, HD Audio, Dual Chamber design",$209.00,https://prod.scorptec.com.au/4/37/73116/157206_large.jpg
"Lian Li Lancool 215 Black E-ATX Case, T/G Window, No PSU","Lian Li Lancool 215 Black E-ATX Case, Tempered Glass Side Window, No PSU, 2x USB 3.0, HD Audio, RGB Controller, 2x 200mm ARGB + 1x 120mm Black Fan",$119.00,https://prod.scorptec.com.au/4/37/84729/219093_large.jpg
"Deepcool Matrexx 50 Black E-ATX Case, T/G Window, No PSU","Deepcool Matrexx 50 Black E-ATX Case, Tempered Glass Side and Front Window, No PSU, 2x USB3.0, 1x USB2.0, HD Audio, 4x 120mm ARGB Fan, No RGB Controller",$109.00,https://prod.scorptec.com.au/4/37/85127/218454_large.jpg
"Thermaltake S100 Tempered Glass Snow Edition Micro ATX Case, No PSU","Thermaltake S100 Tempered Glass Snow Edition Micro ATX Case, Tempered Glass Hinged Panel, No PSU, 1x USB3, 2x USB2, HD Audio, Magnetic Fan Filter, Power Supply Cover",$89.00,https://prod.scorptec.com.au/4/154/82961/206347_large.jpg
"Thermaltake V250 TG ARGB Mid Tower ATX Case, T/G Window, No PSU","Thermaltake V250 TG ARGB Mid Tower ATX Case, Tempered Glass Window, No PSU, 1x USB 3.0, 2x USB 2.0, HD Audio, ARGB Controller, 3x 120mm ARGB / 1x 120mm Black Fan pre-installed",$129.00,https://prod.scorptec.com.au/4/37/81958/201480_large.jpg
"Antec Dark Phantom DP301M Black Micro ATX Case, T/G Window, No PSU","Antec Dapper Dark Phantom DP301M Black Micro ATX Case, Tempered Glass Side Window, No PSU, 2x USB3.0, HD Audio, Fan Controller, 1x 120mm Fan pre-installed, ARGB Boomerang Front Panel",$75.00,https://prod.scorptec.com.au/4/154/76611/175521_large.jpg
"Antec NX400 Black ATX Case, Tempered Glass Window, No PSU","Antec NX400 Black ATX Case, Tempered Glass Window, No PSU, 2x USB3.0, 1x USB2.0, HD Audio, LED Control button, 1x 120mm ARGB Fan pre-installed",$79.00,https://prod.scorptec.com.au/4/37/79098/186950_large.jpg
"Fractal Design Define R5 Black ATX Case, No PSU, USB 3.0","Fractal Design Define R5 Black ATX Case, No PSU, 2x USB 3.0, 2x USB 2.0, Audio In/Out, 8x 3.5"" HDD Trays, 2x 5.25"" Bays, 2x140mm Fans",$199.00,https://prod.scorptec.com.au/4/37/57222/89287_large.jpg
"Lian Li PC-O11 Dynamic White ATX Case, T/G Window, No PSU","Lian Li PC-O11 Dynamic White ATX Case, Tempered Glass Front and Side Windows, No PSU, 1x USB 3.1 Type-C, 2x USB 3.0, HD Audio, Dual Chamber design",$209.00,https://prod.scorptec.com.au/4/37/73137/157212_large.jpg
"Deepcool Matrexx 50 Black E-ATX Case, T/G Window, No PSU","Deepcool Matrexx 50 Black E-ATX Case, Tempered Glass Side and Front Window, No PSU, 1x USB3.0, 2x USB2.0, HD Audio, 4x 120mm ARGB LED Fan pre-installed, No RGB Controller",$109.00,https://prod.scorptec.com.au/4/37/79556/190312_large.jpg
"Corsair Carbide SPEC-DELTA RGB Black ATX Case, T/G Window, No PSU","Corsair Carbide SPEC-DELTA RGB Black ATX Case, Tempered Glass Window, No PSU, 2x USB3.0, HD Audio, 3x 120mm RGB / 1x 120mm Black Fans pre-installed",$125.00,https://prod.scorptec.com.au/4/37/75590/169894_large.jpg
"Cooler Master MasterBox MB520 RGB Black ATX Case, T/G Window, No PSU","Cooler Master MasterBox MB520 RGB Black ATX Case, Tempered Glass Side Window, NO PSU, 2x USB3.0, HD Audio, RGB Controller, 3x 120mm RGB / 1x 120mm Bla",$119.00,https://prod.scorptec.com.au/4/37/76137/192032_large.jpg
"Fractal Design Meshify C ARGB Black ATX Case, T/G Window, No PSU","Fractal Design Meshify C ARGB Edition Black ATX Case, Tempered Glass Dark Tint Side Window, No PSU, 2x USB 3.0, HD Audio, 2x Prisma 120mm ARGB + 1x 120mm Black Fan / Adjust R1 pre-installed",$185.00,https://prod.scorptec.com.au/4/37/81627/200216_large.jpg
"NZXT H510 Elite Matte White ATX Case, 2x T/G Window, No PSU","NZXT H510 Elite Matte White ATX Case, T/G Side + Front Window, No PSU, 2x USB 3.1 (Type-C + Type-A) , HD Audio, includes Smart Device V2 for Lighting and Fan Control, 1x RGB LED Strip, 2x 140mm RGB / 2x Black Fan pre-installed",$279.00,https://prod.scorptec.com.au/4/37/77990/207968_large.jpg
"Deepcool Tesseract Black/Blue ATX Case, Window, NO PSU","Deepcool Tesseract Black/Blue ATX Case, Window, NO PSU, USB 3.0 x 1, USB 2.0 x 1 , HD Audio, 2x 120mm Blue LED Fan",$75.00,https://prod.scorptec.com.au/4/37/58544/94698_large.jpg
